name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,9.463263868485429,2.03
2_DecisionTree,Decision Tree,rmse,3.908259930088502,11.93
3_Linear,Linear,rmse,4.060395588526553,4.86
4_Default_Xgboost,Xgboost,rmse,1.7561441671862772,41.56
5_Default_NeuralNetwork,Neural Network,rmse,2.446644203228202,2.48
6_Default_RandomForest,Random Forest,rmse,2.8029003835127297,13.04
Ensemble,Ensemble,rmse,1.7432607136332583,0.29
